ticker,aaa_rated_fair_value,accession_number,aggregate_fair_value,amounts_reclassified,aoci_derivative_gain_loss,aoci_reclassification_next_12m,argentina_peso_position,average_credit_rating,average_credit_rating_corporate,average_credit_rating_overall,average_interest_rates,basis_adjustments,below_investment_grade_fair_value,cash_and_equivalents,cash_and_equivalents_composition,cash_and_investments,cash_collateral_posted,cash_equivalents_amount,cash_equivalents_current,cash_equivalents_marketable_securities,cash_equivalents_prior,cash_flow_classification,cash_flow_hedge_aoci,cash_flow_hedge_currencies,cash_flow_hedge_effects,cash_flow_hedge_gain_loss_oci,cash_flow_hedge_notional,cash_flow_hedge_reclassified_cost,cash_flow_hedge_reclassified_revenue,cash_flow_settlements,cash_posted_iso,collateral_held,collateral_posted,collateral_requirements,collateral_trigger_events,commercial_paper_outstanding,commodity_cash_flow_hedge_notional,commodity_contracts_fair_value,commodity_contracts_notional,commodity_derivative_fair_value_impact,commodity_derivative_fair_values,commodity_derivative_sensitivity,commodity_derivatives_notional,commodity_designated_notional,commodity_exposure,commodity_exposures,commodity_fair_value,commodity_hedge_fair_value,commodity_hedging_horizon,commodity_non_hedge_fair_value,commodity_not_designated_notional,commodity_notional,commodity_notional_current,commodity_notional_prior,commodity_oci_gain_loss,commodity_price_sensitivity,commodity_risk_exposure,commodity_sensitivity,commodity_sensitivity_10pct,commodity_sensitivity_analysis,commodity_sensitivity_hedge,commodity_sensitivity_non_hedge,commodity_var,commodity_var_period_stats,compliance_program_derivative_sensitivity,congestion_rights_notional_gwh,constant_currency_impact,contingent_consideration,contract_maturities,corporate_debt_securities_fv,corporate_securities_percentage,counterparty_concentration,counterparty_credit_exposure,counterparty_credit_management,counterparty_credit_risk,counterparty_exposure,counterparty_ratings,counterparty_risk,counterparty_type,counterparty_types,coverage_target,credit_contingent_liability_fv,credit_exposure_by_quality,credit_exposure_by_sector,credit_exposure_table,credit_facility_outstanding,credit_facility_sensitivity,credit_policy,credit_rating_impact,cross-currency_interest_rate_swaps_fair_value,cross-currency_interest_rate_swaps_notional,cross_currency_fair_value_2024,cross_currency_fair_value_2025,cross_currency_notional_amount,cross_currency_swap_fair_value_asset,cross_currency_swap_fair_value_liability,cross_currency_swap_notional,cross_currency_swap_notional_gbp_eur,cross_currency_swap_notional_jpy_usd,cross_currency_swaps,cross_currency_swaps_fair_value,cross_currency_swaps_notional,cross_reference,cross_reference_location,cumulative_translation_impact,currency_sensitivity,currency_specific_impacts,currency_translation_adjustment,current_interest_rate,debt_amount,debt_composition,debt_composition_fixed_rate_percent,debt_composition_variable_rate_percent,debt_exposed_to_rate_changes_12mo,debt_fair_value,debt_fair_value_sensitivity,debt_fair_values,debt_interest_rate_type,debt_maturity,debt_maturity_schedule,debt_portfolio_mix,debt_securities_gains_losses,debt_securities_sensitivity,debt_structure,deferred_hedge_gain_loss_aoci,derivative_asset_cash_flow_current,derivative_asset_net_investment_noncurrent,derivative_fair_value_methodology,derivative_fair_values,derivative_holdings,derivative_impact_on_interest_expense,derivative_liability_cash_flow_current,derivative_liability_net_investment_noncurrent,derivative_mark_to_market_var,derivative_maturity,derivative_policy,derivative_purpose,derivative_strategy,derivative_types,derivative_usage_policy,derivative_usage_statement,derivative_valuation_level,derivatives_policy,diversification_strategy,electricity_notional_gwh,energy_cost_change_yoy,equity_derivatives_notional,equity_holdings,equity_percentage_of_portfolio,equity_price_risk,equity_price_sensitivity_10pct,equity_sensitivity,equity_sensitivity_10pct,equity_sensitivity_10pct_decrease,equity_sensitivity_10pct_increase,estimated_fair_values,eur_denominated_debt,euro_debt_sensitivity_10pct,euro_denominated_debt_unhedged,euro_notes_hedge_designation,european_sovereign_debt,expected_12mo_reclass_from_aoci,expected_reclassification,expected_reclassifications,experience_rated_products,exposure_rolloff_timeline,extraction_version,fair_value,fair_value_assets,fair_value_assets_designated,fair_value_assets_non_designated,fair_value_debt,fair_value_hedge_activity,fair_value_hedge_adjustments,fair_value_hierarchy,fair_value_hierarchy_tables,fair_value_liabilities,fair_value_liabilities_designated,fair_value_liabilities_non_designated,fair_value_measurement,fair_value_option_elections,fair_value_receivable_payable,fair_value_sensitivity,fair_values,fi_fx_derivatives_notional,fi_fx_designated_notional,fi_fx_not_designated_notional,fi_ir_swap_notional,fi_total_derivative_asset,fi_total_derivative_liability,filing_date,fin_toll_notional_gwh,financial_instruments_maturity_table,fixed_debt_fair_value,fixed_debt_notional,fixed_debt_sensitivity,fixed_rate_debt,fixed_rate_debt_amounts,fixed_rate_debt_balances,fixed_rate_debt_by_maturity,fixed_rate_debt_carrying_value,fixed_rate_debt_fair_value,fixed_rate_debt_fair_value_sensitivity_100bp,fixed_rate_debt_pct,fixed_rate_debt_percentage,fixed_rate_debt_principal,fixed_rate_debt_schedule,fixed_rate_debt_total,fixed_rate_notes,fixed_rate_notes_billion,floating_rate_debt,floating_rate_debt_amount,floating_rate_debt_outstanding,floating_rate_debt_ratio,floating_rate_interest_sensitivity,floating_rate_obligations,foreign_business_percentage,foreign_currencies,foreign_currency_contract_amounts,foreign_currency_contract_maturity,foreign_currency_debt_netting,foreign_currency_expense_percentage,foreign_currency_exposure,foreign_currency_exposure_percentage,foreign_currency_fair_value,foreign_currency_forward_contracts_purchase,foreign_currency_forward_contracts_sell,foreign_currency_forward_notional,foreign_currency_forwards_fair_value,foreign_currency_forwards_notional,foreign_currency_gain_loss,foreign_currency_gains_losses,foreign_currency_hedging_status,foreign_currency_notional,foreign_currency_notional_current,foreign_currency_notional_prior,foreign_currency_revenue_percentage,foreign_currency_risk,foreign_currency_sensitivity,foreign_currency_sensitivity_1pct,foreign_currency_transaction_losses,foreign_currency_translation,foreign_debt_notional,foreign_exchange_exposure,foreign_exchange_forwards_outstanding,foreign_exchange_gains_losses,foreign_exchange_sensitivity,foreign_operations_percentage,foreign_sales_pct,foreign_sales_percentage,form_type,forward_contracts_notional_jpy,forward_contracts_purpose,forward_contracts_sensitivity,forward_starting_swap_notional,freight_cost_exposure,fuel_expense_pct_of_operating,fuel_hedge_pct_by_year,fuel_sensitivity_10pct,futures_contracts_fair_value,futures_contracts_notional,fx_balance_sheet_sensitivity,fx_cash_flow_hedge_notional,fx_contracts_fair_value,fx_contracts_notional,fx_contracts_table,fx_derivatives_notional,fx_designated_notional,fx_equity_sensitivity_1pct,fx_exposure_currencies,fx_fair_value_hedge_notional,fx_forward_contract_count,fx_forward_fair_value,fx_forward_fair_value_sensitivity,fx_forward_maturities,fx_forward_notional,fx_forward_notional_by_pair,fx_forward_total_notional,fx_forwards_fair_value,fx_forwards_notional,fx_forwards_outstanding,fx_hedge_accounting_fair_value,fx_non_hedge_fair_value,fx_not_designated_notional,fx_oci_gain_loss,fx_remeasurement_gains_losses,fx_remeasurement_pnl,fx_revenue_impact,fx_revenue_percentage,fx_revenue_sensitivity,fx_risk_collaborator_revenue,fx_sensitivity,fx_sensitivity_10_percent,fx_sensitivity_10pct,fx_sensitivity_amount,fx_sensitivity_analysis,fx_sensitivity_content_hedges,fx_sensitivity_current,fx_sensitivity_eur_debt,fx_sensitivity_hedge,fx_sensitivity_intercompany,fx_sensitivity_monetary_items,fx_sensitivity_non_hedge,fx_sensitivity_operating_profit_2024,fx_sensitivity_operating_profit_2025,fx_sensitivity_prior_1,fx_sensitivity_prior_2,fx_sensitivity_recognized,fx_sensitivity_revenue_2024,fx_sensitivity_revenue_2025,fx_sensitivity_revenue_hedges,fx_sensitivity_unrecognized,fx_transaction_gain_loss,fx_unhedged_payments_eur,gross_derivative_assets,gross_derivative_liabilities,gross_notional,gross_notional_amounts,gross_profit_by_currency,gross_unrealized_gains_debt,has_derivatives,hedge_accounting,hedge_accounting_designation,hedge_accounting_designations,hedge_designation,hedge_designation_types,hedge_designations,hedge_effectiveness_gains_losses,hedge_effectiveness_method,hedge_horizon,hedge_ineffectiveness,hedge_objectives,hedge_purpose,hedge_ratios,hedge_types,hedged_currencies,hedged_item_fair_value,hedged_items,hedging_policy,hypothetical_fluctuation_table,hypothetical_fx_impact_current,hypothetical_fx_impact_prior,hypothetical_fx_sensitivity,hypothetical_sensitivity_analysis,intercompany_debt_sensitivity_10pct,interest_expense_reduction,interest_income_sensitivity_1pct,interest_rate_contracts_fair_value,interest_rate_contracts_notional,interest_rate_exposure,interest_rate_hedge_notional,interest_rate_locks_outstanding,interest_rate_risk,interest_rate_sensitive_instruments,interest_rate_sensitivity,interest_rate_sensitivity_100bp,interest_rate_sensitivity_100bp_decrease,interest_rate_sensitivity_100bp_down_fixed,interest_rate_sensitivity_100bp_increase,interest_rate_sensitivity_100bp_up_fixed,interest_rate_sensitivity_100bp_variable,interest_rate_sensitivity_1pct,interest_rate_sensitivity_analysis,interest_rate_sensitivity_fixed_debt,interest_rate_sensitivity_variable_debt,interest_rate_swap_count,interest_rate_swap_credit_adjusted_value,interest_rate_swap_notional,interest_rate_swap_notionals,interest_rate_swap_sensitivity,interest_rate_swap_status,interest_rate_swaps_fair_value,interest_rate_swaps_notional,interest_rate_swaps_outstanding,interest_rate_type,international_revenue_pct,investment_composition,investment_maturity_profile,investment_policy,investment_portfolio_ir_exposure,investment_portfolio_risk,investment_portfolio_total,investment_types,ir_cash_flow_hedge_notional,ir_fair_value_hedge_notional,ir_not_designated_notional,ir_sensitivity_100bp,ir_sensitivity_1pct,ir_swap_fair_value_liability,ir_swap_notional,ir_swap_notional_outstanding,jpy_debt_hedging,korean_withholding_tax_receivable,largest_net_asset_currency_exposures,life_insurance_cash_surrender_value,life_insurance_market_exposure,life_insurance_sensitivity,long_term_debt_carrying_value,long_term_debt_face_value,long_term_debt_fair_value,long_term_debt_total,long_term_investments,major_commodities,major_currencies,marketable_equity_securities_fv,marketable_equity_value,marketable_securities_exposure,maturity_date,maturity_dates,maturity_schedule,maximum_hedge_maturity,mbs_balance,mgm_osaka_commitment_jpy,municipal_debt_securities,natural_gas_notional_bcf,net_asset,net_derivative_assets,net_derivative_liabilities,net_derivative_position,net_financial_instrument_position,net_investment_hedge_activity,net_investment_hedge_amount,net_investment_hedge_gain_loss_oci,net_investment_hedge_interest_income,net_investment_hedge_notional,net_liability,no_commodity_hedges,non_designated_gain_loss,non_hedge_derivative_income,non_hedge_derivatives,non_hedge_derivatives_pnl,notional_amount,notional_amount_hedging_instruments,notional_amounts,notional_amounts_by_maturity,oci_gains_losses,oci_reclassification_estimate,operating_income_fx_sensitivity_cny,operating_income_fx_sensitivity_eur,outstanding_borrowings,pct_interest_cost_fixed,pct_sales_outside_us,period_end_date,permitted_securities,portfolio_duration,preissuance_hedge_notional,primary_currencies,primary_foreign_currencies,principal_cash_flows,processed_at,rcf_borrowing_capacity,realized_gains_losses,receivables_securitization,reclassified_amounts,recycled_commodity_price_change_pct,recycling_revenue_yield_change,reference_location,residential_mortgage_loans,restricted_deposits,revenue_by_currency,revolving_credit_available,revolving_credit_facility,revolving_facility_capacity,revolving_facility_interest_rate,revolving_facility_outstanding,revolving_facility_outstanding_amount,revolving_facility_rate,senior_notes_details,sensitivity_analysis,sensitivity_analysis_current,sensitivity_analysis_designated,sensitivity_analysis_foreign_currency,sensitivity_analysis_interest_rate,sensitivity_analysis_jpy,sensitivity_analysis_non_designated,sensitivity_analysis_prior,sensitivity_analysis_table,sensitivity_analysis_total,short_term_investments,stock_warrants_fair_value,stock_warrants_losses,swap_entry_date,swap_fair_value_asset,swap_maturity_date,swap_maturity_dates,swap_notional_amounts,swap_notional_value,swap_rates,swap_structure,tax_exempt_bonds_repricing,total_cash_equivalents_fv,total_debt_outstanding,total_debt_principal,total_derivative_asset,total_derivative_liability,total_marketable_securities_fv,total_notional,total_outstanding_debt,translation_exposure_impact,treasury_lock_notional,turkey_lira_position,uncommitted_irlcs_notional,uncommitted_mortgage_loans_notional,unrealized_gains_losses,unrealized_loss_amount,value_at_risk,var_estimate,variable_debt_earnings_sensitivity,variable_debt_sensitivity,variable_rate_debt_amounts,variable_rate_debt_balances,variable_rate_debt_fair_value,variable_rate_debt_outstanding,variable_rate_debt_pct,variable_rate_debt_percentage,variable_rate_debt_schedule,variable_rate_debt_sensitivity,variable_rate_debt_total,variable_rate_exposure,variable_rate_interest_sensitivity_100bp,variable_rate_percentage,variable_rate_terms,weighted_average_contract_rates,weighted_average_cost_of_debt,weighted_average_exchange_rates,weighted_average_floating_borrowings,weighted_average_interest_rates,weighted_average_life_of_debt,weighted_avg_fixed_rate,weighted_avg_variable_rate,yen_credit_facility_amount,zens_derivative_component
CMCSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Q,,,,,,,,,,,,,,,,6400,1551,,,,,,,,,,,,,,,,3607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-52,,,,,,,,,,,,,,,,,,,,,,,,2026-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Principal: $23.6 billion; Fair value: $22.9 billion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COR,,0001140859-26-000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-30,,,,,,,2026-08-06T09:38:03.993596+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTSH,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,-106,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3060,3060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVS,,0000064803-26-000098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-30,,,,,,,2026-08-06T09:38:04.523782+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG,,0001104659-26-069205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2026-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-01,,,,,,,2026-07-16T00:39:15Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHI,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,
DTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
